group_type,group_value,num_edges,mean_loss_weight,median_loss_weight,max_loss_weight,mean_planner_usage_count,method
support_group,high_support,1610,0.8547168908406496,0.85174304977861,1.2386816415392934,0.0,augmented_loss_support_bottleneck_s03
support_group,low_support,1633,1.1397270763265934,1.0884098995660616,1.8,0.0,augmented_loss_support_bottleneck_s03
bottleneck_group,high_bottleneck,1618,1.0336076635247566,0.9742714376769019,1.8,0.0,augmented_loss_support_bottleneck_s03
bottleneck_group,low_bottleneck,1625,0.9630100371149027,0.9333670830077823,1.3908868451103016,0.0,augmented_loss_support_bottleneck_s03
horizon_group,long_horizon,1378,1.0333569214670095,0.9985954082813198,1.8,0.0,augmented_loss_support_bottleneck_s03
horizon_group,short_horizon,1865,0.9722802531438253,0.9141523224378507,1.8,0.0,augmented_loss_support_bottleneck_s03
compatibility_group,unknown,3243,0.9982326580002384,0.9538210627557622,1.8,0.0,augmented_loss_support_bottleneck_s03
planner_usage_group,not_planner_used,3243,0.9982326580002384,0.9538210627557622,1.8,0.0,augmented_loss_support_bottleneck_s03
loss_weight_reason,support_bottleneck,3243,0.9982326580002384,0.9538210627557622,1.8,0.0,augmented_loss_support_bottleneck_s03
support_group,high_support,1610,0.8496843087657391,0.8419231123488137,1.267249740019425,0.115527950310559,planner_relevant_repair_s04
support_group,low_support,1633,1.1481985688225105,1.0909340085362125,2.1320975046451203,0.050826699326393145,planner_relevant_repair_s04
bottleneck_group,high_bottleneck,1618,1.0401018721651465,0.9686065216353332,2.1320975046451203,0.09517923362175525,planner_relevant_repair_s04
bottleneck_group,low_bottleneck,1625,0.9600708743611032,0.9319934666018849,1.5453697053940838,0.07076923076923076,planner_relevant_repair_s04
horizon_group,long_horizon,1378,1.0348372278693734,0.9974297538173629,2.091602448735691,0.0602322206095791,planner_relevant_repair_s04
horizon_group,short_horizon,1865,0.9742596782820393,0.9123877123935978,2.1320975046451203,0.0997319034852547,planner_relevant_repair_s04
compatibility_group,unknown,3243,0.9999999999999999,0.9479887621059415,2.1320975046451203,0.08294788775824853,planner_relevant_repair_s04
planner_usage_group,not_planner_used,3024,0.9999308938003035,0.9497945545488383,2.091602448735691,0.0,planner_relevant_repair_s04
planner_usage_group,planner_used,219,1.0009542335519703,0.9209488446245074,2.1320975046451203,1.2283105022831051,planner_relevant_repair_s04
loss_weight_reason,base_support_bottleneck,2743,0.9705450914467735,0.9308762699069169,1.766883756512072,0.06926722566532993,planner_relevant_repair_s04
loss_weight_reason,hard_repair,443,1.151662748017061,1.095957814016616,2.091602448735691,0.0,planner_relevant_repair_s04
loss_weight_reason,planner_used_repair,57,1.2387406454375802,1.1857190669354511,2.1320975046451203,1.3859649122807018,planner_relevant_repair_s04
